id	nm_kar	ttl_kar	almt_kar	jkel	agama	pendidikan	telp	email
1	Susy Gunawan	Surabaya, 11/19/1995	Kendangsari YKP, Surabaya, Jawa Timur	P	Islam	S1 Sistem Komputer	0821479152518	SusyG@gmail.co.id
2	Hendra Basoeki	Surabaya, 07/02/1986	darmo permai selatan, Surabaya, Jawa Timur	L	Budha	S1 Sistem Informasi	0814531395755	HendraB@gmail.com
3	Charles Louis De Queljoe	Surabaya, 11/18/1983	Pondok Benowo Indah, Surabaya, Jawa Timur	P	Hindu	S1 Teknik Informatika	0823700711991	CharlesLouisDe27@gmail.com
4	Henking Wargana	Surabaya, 05/28/1984	babatan pratama, Surabaya, Jawa Timur	P	Islam	S1 Teknik Informatika	0898815812332	Henking63@gmail.com
5	Djajadinata Hardjono	Surabaya, 05/02/1991	babatan pratama, Surabaya, Jawa Timur	L	Islam	S1 Teknik Informatika	0818547949907	Djajadinata85@gmail.com
6	Hans Maramis	Surabaya, 06/07/1987	jln.sumatera kota , Surabaya, 	P	Islam	S1 Sistem Informasi	0822827577942	HansM@gmail.co.id
7	Erika Debora Djauhari	Surabaya, 05/11/1985	Semolowaru Elok, Surabaya, Jawa Timur	P	Islam	S1 Sistem Informasi	0812336967779	ErikaDebora82@gmail.com
8	Tommy Nugraha	Surabaya, 09/01/1986	Jl. Libra, Surabaya, Jawa Timur	P	Islam	S1 Teknik Informatika	0877810553498	Tommy65@gmail.com
9	Alisyahrazad Hanafiah	Surabaya, 12/19/1988	Rewwin, Surabaya, Jawa Timur	L	Islam	S1 Teknik Informatika	0816439413087	Alisyahrazad59@gmail.co.id
10	Jeffrey K. Wonsono	Surabaya, 04/13/1988	Jl. Manyar Tirtoyoso Selatan, Surabaya	P	Hindu	S1 Sistem Informasi	0812456569494	JeffreyKW@gmail.co.id
11	Ben Morice	Surabaya, 06/15/1984	Jl. Raya Manyar, Surabaya, Jawa Timur	L	Islam	S1 Sistem Informasi	0816340525581	BenM@gmail.co.id
12	Sity Leo Samudera	Surabaya, 05/17/1993	Jl. Karangan Jaya, Surabaya, Jawa Timur	P	Islam	S1 Sistem Informasi	0859674552201	SityLeo43@gmail.co.id
13	Victor Fungkong	Surabaya, 09/30/1981	Jl. Kedung Doro, Surabaya, Jawa Timur	L	Islam	S1 Sistem Informasi	0821922647001	VictorF@gmail.co.id
14	Lijatini Setiono	Surabaya, 07/23/1996	Pakal Residence, Surabaya, Jawa Timur	P	Hindu	S1 Sistem Informasi	0851799323138	Lijatini61@gmail.co.id
15	Lanasari Halim	Surabaya, 02/28/1984	Jl. Raya Wiguna Timur, Surabaya	P	Islam	S1 Sistem Informasi	0878784646684	Lanasari64@gmail.co.id
16	Jimmy Namara	Surabaya, 06/26/1989	Graha Famili, Surabaya, Jawa Timur	P	Islam	S1 Sistem Informasi	0858567799033	Jimmy67@gmail.co.id
17	Sanjay Bhansali	Surabaya, 04/11/1985	Kendangsari YKP, Surabaya, Jawa Timur	P	Islam	S1 Sistem Informasi	0856165605452	SanjayB@gmail.com
18	Edwin Soeryadjaya	Surabaya, 08/18/1980	darmo permai selatan, Surabaya, Jawa Timur	L	Khatolik	S1 Sistem Informasi	0852238281691	EdwinS@gmail.co.id
19	Inayat Ali Badruddin	Surabaya, 04/11/1988	Pondok Benowo Indah, Surabaya, Jawa Timur	P	Islam	S1 Sistem Informasi	0856394476047	InayatAli18@gmail.com
20	Iwan Hardja	Surabaya, 09/21/1980	babatan pratama, Surabaya, Jawa Timur	L	Islam	S1 Sistem Informasi	0859520428382	IwanH@gmail.com
21	Jodi Haryanto	Surabaya, 03/14/1993	babatan pratama, Surabaya, Jawa Timur	L	Khatolik	S1 Sistem Informasi	0851185123329	Jodi48@gmail.co.id
22	Tjahyono Imawan	Surabaya, 03/24/1987	jln.sumatera kota , Surabaya, 	P	Khatolik	S1 Teknik Informatika	0851165426893	TjahyonoI@gmail.co.id
23	Hasnuryani Sulaiman	Surabaya, 10/03/1981	Semolowaru Elok, Surabaya, Jawa Timur	P	Islam	S1 Teknik Informatika	0859908737458	HasnuryaniS@gmail.co.id
24	Chenry Micron Mor	Surabaya, 12/20/1989	Puri Mas, Surabaya, Jawa Timur	P	Islam	S1 Teknik Informatika	0811380150457	ChenryMicron22@gmail.com
25	Amelia Mulyono	Surabaya, 11/10/1991	Jl. Libra, Surabaya, Jawa Timur	L	Islam	S1 Sistem Informasi	0818644470594	Amelia89@gmail.com
26	Mintardjo Halim	Surabaya, 12/14/1990	Rewwin, Surabaya, Jawa Timur	P	Islam	S1 Teknik Informatika	0814212062912	Mintardjo86@gmail.co.id
